Status,ActivityCompleted,nps_score,Comments,Sentiment,Device Type,Browser
Complete,2022-08-31T20:51:45Z,4,,,Mobile,Safari mobile
Complete,2022-08-31T20:53:43Z,5,,,Mobile,Google App
Complete,2022-08-31T21:14:53Z,5,"Zz u CB
M.   L🛖🛖🛖🛖",Neutral,Mobile,Google App
Complete,2022-08-31T21:26:19Z,5,"I am hoping that 1 out of 5
being 1 bad and 5 good!!
I am very sorry if incorrect. I don't have issues with the system.",Mixed,Desktop,Chrome
Complete,2022-08-31T21:33:33Z,3,command center is slo processing payment,Negative,Desktop,Chrome
Complete,2022-08-31T21:36:01Z,5,Great website easy to use,Positive,Mobile,Safari mobile
Complete,2022-08-31T21:39:00Z,4,"Because nothing is perfect...otherwise a ""5""",Mixed,Desktop,Chrome
Complete,2022-08-31T22:16:28Z,5,Easy to understand and use,Positive,Mobile,Chrome Mobile
Complete,2022-08-31T22:20:53Z,5,,,Desktop,Microsoft Edge
Complete,2022-08-31T22:25:21Z,5,,,Mobile,Safari mobile
Complete,2022-08-31T22:34:31Z,4,,,Mobile,Chrome Mobile
Complete,2022-08-31T22:38:06Z,1,"Worst system ever! Extremely slow, always gets stuck and seems like after every new update it only gets worse!",Negative,Desktop,Microsoft Edge
Complete,2022-08-31T22:39:15Z,5,,,Mobile,Safari mobile
Complete,2022-08-31T22:40:17Z,1,Tells me a rental is available but cant pick a return time. Only a pick up time,Negative,Mobile,Safari mobile
Complete,2022-08-31T22:46:33Z,4,,,Mobile,Safari mobile
Complete,2022-08-31T22:51:25Z,5,,,Mobile,Safari mobile
Complete,2022-08-31T22:55:15Z,2,,,Mobile,Google App
Complete,2022-08-31T22:57:29Z,4,,,Desktop,Chrome
Complete,2022-08-31T22:58:28Z,5,,,Mobile,Safari mobile
Complete,2022-08-31T22:58:31Z,3,,,Mobile,Safari mobile
Complete,2022-08-31T23:01:27Z,3,I don't see a way to update job contact information or a way to update once reservation has been made.,Negative,Desktop,Microsoft Edge
Complete,2022-08-31T23:15:16Z,5,,,Desktop,Microsoft Edge
Complete,2022-08-31T23:20:10Z,3,Price of rentals are not posted,Negative,Mobile,Safari mobile
Complete,2022-08-31T23:20:57Z,3,,,Mobile,Safari mobile
Complete,2022-08-31T23:30:34Z,1,I CHANGE ONE SCREEN AND THEY ALL CHANGE,Negative,Desktop,Chrome
Complete,2022-08-31T23:36:17Z,2,Locations selection not working for Canada locations. Keeps giving me an error when I type in the city and province.,Negative,Desktop,Firefox
Complete,2022-08-31T23:38:10Z,5,Eta,Neutral,Mobile,Safari mobile
Complete,2022-08-31T23:52:19Z,5,,,Desktop,Safari
Complete,2022-09-01T00:05:06Z,5,,,Desktop,Firefox
Complete,2022-09-01T00:20:18Z,3,To pay my invoices it takes forever doesn’t load,Negative,Desktop,Safari
Complete,2022-09-01T00:22:38Z,5,Very easy to rent on the website,Positive,Mobile,Google App
Complete,2022-09-01T00:36:38Z,5,Good site,Positive,Mobile,Safari mobile
Complete,2022-09-01T00:41:44Z,5,Ease of use,Positive,Mobile,Chrome Mobile
Complete,2022-09-01T00:42:28Z,5,5,Neutral,Mobile,Safari mobile
Complete,2022-09-01T00:47:21Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T01:03:08Z,5,Ease of use,Positive,Desktop,Microsoft Edge
Complete,2022-09-01T01:05:24Z,5,,,Mobile,Chrome Mobile
Complete,2022-09-01T01:05:46Z,4,,,Desktop,Safari
Complete,2022-09-01T01:09:28Z,5,,,Tablet,Chrome Mobile
Complete,2022-09-01T01:21:09Z,1,I got the error message “sorry our lines got crossed” 10 times in 2 minutes,Negative,Mobile,Safari mobile
Complete,2022-09-01T01:27:05Z,5,,,Mobile,Chrome Mobile
Complete,2022-09-01T01:28:04Z,5,,,Mobile,Mobile Samsung Browser
Complete,2022-09-01T01:30:31Z,5,Good and easy website 👍,Positive,Desktop,Safari
Complete,2022-09-01T01:30:58Z,5,,,Desktop,Safari
Complete,2022-09-01T01:46:58Z,4,,,Mobile,Safari mobile
Complete,2022-09-01T02:04:29Z,3,,,Mobile,Safari mobile
Complete,2022-09-01T02:07:55Z,5,Good service,Positive,Mobile,Safari mobile
Complete,2022-09-01T02:15:39Z,5,,,Mobile,Chrome Mobile
